id,sprites,fr_name,en_name,jpn_name,health,type1,type2,speed,height_m,weight_kg,percentage_male,class,attack,defense,sp_attack,sp_defense,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,generation,is_legendary,level,trainer
48,048_LGPE.png,Mimitoss,Venonat,Kongpang????,60,bug,poison,45,1,30,50,Insect Pokémon,55,50,40,55,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,1000000,1,0,,
49,049_LGPE.png,Aéromite,Venomoth,Morphon?????,70,bug,poison,90,1.5,12.5,50,Poison Moth Pokémon,65,60,90,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,1000000,1,0,,
50,050_LGPE.png;050_Alola_LGPE.png,Taupiqueur;Taupiqueur d'Alola,Diglett,Digda????,10,ground,ground,90,,,50,Mole Pokémon,55,30,35,45,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,1000000,1,0,,
51,051_EB.png;051_Alola_LGPE.png,Triopikeur;Triopikeur d'Alola,Dugtrio,Dugtrio?????,35,ground,ground,110,,,50,Mole Pokémon,100,60,50,70,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,1000000,1,0,,
52,052_LGPE.png;052_Alola_LGPE.png;052_Galar_EB.png,Miaouss;Miaouss d'Alola;Miaouss de Galar,Meowth,Nyarth????,40,normal,dark,90,,,50,Scratch Cat Pokémon,35,35,50,40,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,1000000,1,0,,
53,053_EB.png;053_Alola_LGPE.png,Persian;Persian d'Alola,Persian,Persian?????,65,normal,dark,115,,,50,Classy Cat Pokémon,60,60,75,65,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,1000000,1,0,,
54,054_LGPE.png,Psykokwak,Psyduck,Koduck????,50,water,,55,0.8,19.6,50,Duck Pokémon,52,48,65,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,1000000,1,0,,
55,055_LGPE.png,Akwakwak,Golduck,Golduck?????,80,water,,85,1.7,76.6,50,Duck Pokémon,82,78,95,80,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,1000000,1,0,,
56,056_LGPE.png,Férosinge,Mankey,Mankey????,40,fighting,,70,0.5,28,50,Pig Monkey Pokémon,80,35,35,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,1000000,1,0,,
57,057_LGPE.png,Colossinge,Primeape,Okorizaru?????,65,fighting,,95,1,32,50,Pig Monkey Pokémon,105,60,60,70,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,1000000,1,0,,
58,058_LGPE.png,Caninos,Growlithe,Gardie????,55,fire,,60,0.7,19,75.4,Puppy Pokémon,70,45,70,50,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,1250000,1,0,,
59,059_LGPE.png,Arcanin,Arcanine,Windie?????,90,fire,,95,1.9,155,75.4,Legendary Pokémon,110,80,100,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,1250000,1,0,,
60,060_LGPE.png,Ptitard,Poliwag,Nyoromo????,40,water,,90,0.6,12.4,50,Tadpole Pokémon,50,40,40,40,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,1059860,1,0,,
61,061_LGPE.png,Têtarte,Poliwhirl,Nyorozo????,65,water,,90,1,20,50,Tadpole Pokémon,65,65,50,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,385,120,1059860,1,0,,
62,062_LGPE.png,Tartard,Poliwrath,Nyorobon?????,90,water,fighting,70,1.3,54,50,Tadpole Pokémon,95,95,70,90,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,70,510,45,1059860,1,0,,
63,063_LGPE.png,Abra,Abra,Casey????,25,psychic,,90,0.9,19.5,75.4,Psi Pokémon,20,15,105,55,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,310,200,1059860,1,0,,
64,064_LGPE.png,Kadabra,Kadabra,Yungerer?????,40,psychic,,105,1.3,56.5,75.4,Psi Pokémon,35,30,120,70,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,400,100,1059860,1,0,,
65,065_LGPE.png;065_Méga.png,Alakazam;Méga-Alakazam,Alakazam,Foodin?????,55,psychic,,150,1.5,48,75.4,Psi Pokémon,50,65,175,105,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,600,50,1059860,1,0,,
66,066_LGPE.png,Machoc,Machop,Wanriky?????,70,fighting,,35,0.8,19.5,75.4,Superpower Pokémon,80,50,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,180,1059860,1,0,,
67,067_LGPE.png,Machopeur,Machoke,Goriky?????,80,fighting,,45,1.5,70.5,75.4,Superpower Pokémon,100,70,50,60,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,405,90,1059860,1,0,,
68,068_LGPE.png,Mackogneur,Machamp,Kairiky?????,90,fighting,,55,1.6,130,75.4,Superpower Pokémon,130,80,65,85,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,505,45,1059860,1,0,,
69,069_LGPE.png,Chétiflor,Bellsprout,Madatsubomi?????,50,grass,poison,40,0.7,4,50,Flower Pokémon,75,35,70,30,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,300,255,1059860,1,0,,
70,070_LGPE.png,Boustiflor,Weepinbell,Utsudon????,65,grass,poison,55,1,6.4,50,Flycatcher Pokémon,90,50,85,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,390,120,1059860,1,0,,
71,071_LGPE.png,Empiflor,Victreebel,Utsubot?????,80,grass,poison,70,1.7,15.5,50,Flycatcher Pokémon,105,65,100,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,1059860,1,0,,
72,072_LGPE.png,Tentacool,Tentacool,Menokurage?????,40,water,poison,70,0.9,45.5,50,Jellyfish Pokémon,40,35,50,100,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,335,190,1250000,1,0,,
73,073_LGPE.png,Tentacruel,Tentacruel,Dokukurage?????,80,water,poison,100,1.6,55,50,Jellyfish Pokémon,70,65,80,120,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,515,60,1250000,1,0,,
74,074_LGPE.png;074_Alola_LGPE.png,Racaillou;Racaillou d'Alola,Geodude,Isitsubute?????,40,rock,ground,20,,,50,Rock Pokémon,80,100,30,30,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,300,255,1059860,1,0,,
75,075_LGPE.png;075_Alola_LGPE.png,Gravalanch;Gravalanch d'Alola,Graveler,Golone????,55,rock,ground,35,,,50,Rock Pokémon,95,115,45,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,390,120,1059860,1,0,,
76,076_LGPE.png;076_Alola_LGPE.png,Grolem;Grolem d'Alola,Golem,Golonya?????,80,rock,ground,45,,,50,Megaton Pokémon,120,130,55,65,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,495,45,1059860,1,0,,
77,077_LGPE.png;077_Galar_EB.png,Ponyta;Ponyta de Galar,Ponyta,Ponyta????,50,fire,,90,1,30,50,Fire Horse Pokémon,85,55,65,65,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,410,190,1000000,1,0,,
78,078_LGPE.png;078_Galar_EB.png,Galopa;Galopa de Galar,Rapidash,Gallop?????,65,fire,,105,1.7,95,50,Fire Horse Pokémon,100,70,80,80,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,500,60,1000000,1,0,,
79,079_LGPE.png,Ramoloss,Slowpoke,Yadon???,90,water,psychic,15,1.2,36,50,Dopey Pokémon,65,65,40,40,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,315,190,1000000,1,0,,
80,080_LGPE.png;080_Méga.png,Flagadoss;Méga-Flagadoss,Slowbro,Yadoran????,95,water,psychic,30,1.6,78.5,50,Hermit Crab Pokémon,75,180,130,80,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,590,75,1000000,1,0,,
81,081_LGPE.png,Magnéti,Magnemite,Coil???,25,electric,steel,45,0.3,6,,Magnet Pokémon,35,70,95,55,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,325,190,1000000,1,0,,
82,082_LGPE.png,Magnéton,Magneton,Rarecoil?????,50,electric,steel,70,1,60,,Magnet Pokémon,60,95,120,70,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,465,60,1000000,1,0,,
83,083_LGPE.png;083_Galar_EB.png,Canarticho;Canarticho de Galar,Farfetch'd,Kamonegi????,52,normal,flying,60,0.8,15,50,Wild Duck Pokémon,90,55,58,62,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,377,45,1000000,1,0,,
84,084_LGPE.png,Doduo,Doduo,Dodo????,35,normal,flying,75,1.4,39.2,50,Twin Bird Pokémon,85,45,35,35,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,310,190,1000000,1,0,,
85,085_LGPE.png,Dodrio,Dodrio,Dodorio?????,60,normal,flying,110,1.8,85.2,50,Triple Bird Pokémon,110,70,60,60,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,470,45,1000000,1,0,,
86,086_LGPE.png,Otaria,Seel,Pawou????,65,water,,45,1.1,90,50,Sea Lion Pokémon,45,55,45,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,190,1000000,1,0,,
87,087_LGPE.png,Lamantine,Dewgong,Jugon????,90,water,ice,70,1.7,120,50,Sea Lion Pokémon,70,80,70,95,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,475,75,1000000,1,0,,
88,088_LGPE.png;088_Alola_LGPE.png,Tadmorv;Tadmorv d'Alola,Grimer,Betbeter?????,80,poison,poison,25,,,50,Sludge Pokémon,80,50,40,50,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,325,190,1000000,1,0,,
89,089_LGPE.png;089_Alola_LGPE.png,Grotadmorv;Grotadmorv d'Alola,Muk,Betbeton?????,105,poison,poison,50,,,50,Sludge Pokémon,105,75,65,100,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,500,75,1000000,1,0,,
90,090_LGPE.png,Kokiyas,Shellder,Shellder?????,30,water,,40,0.3,4,50,Bivalve Pokémon,65,100,45,25,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,305,190,1250000,1,0,,
91,091_LGPE.png,Crustabri,Cloyster,Parshen?????,50,water,ice,70,1.5,132.5,50,Bivalve Pokémon,95,180,85,45,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,525,60,1250000,1,0,,
92,092_LGPE.png,Fantominus,Gastly,Ghos???,30,ghost,poison,80,1.3,0.1,50,Gas Pokémon,35,30,100,35,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,310,190,1059860,1,0,,
93,093_LGPE.png,Spectrum,Haunter,Ghost????,45,ghost,poison,95,1.6,0.1,50,Gas Pokémon,50,45,115,55,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,405,90,1059860,1,0,,
94,094_LGPE.png;094_Méga.png,Ectoplasma;Méga-Ectoplasma,Gengar,Gangar????,60,ghost,poison,130,1.5,40.5,50,Shadow Pokémon,65,80,170,95,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,600,45,1059860,1,0,,
95,095_LGPE.png,Onix,Onix,Iwark????,35,rock,ground,70,8.8,210,50,Rock Snake Pokémon,45,160,30,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,70,385,45,1000000,1,0,,
96,096_LGPE.png,Soporifik,Drowzee,Sleepe????,60,psychic,,42,1,32.4,50,Hypnosis Pokémon,48,45,43,90,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,328,190,1000000,1,0,,
97,097_LGPE.png,Hypnomade,Hypno,Sleeper?????,85,psychic,,67,1.6,75.6,50,Hypnosis Pokémon,73,70,73,115,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,483,75,1000000,1,0,,
98,098_LGPE.png,Krabby,Krabby,Crab???,30,water,,50,0.4,6.5,50,River Crab Pokémon,105,90,25,25,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,225,1000000,1,0,,
99,099_LGPE.png,Krabboss,Kingler,Kingler?????,55,water,,75,1.3,60,50,Pincer Pokémon,130,115,50,50,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,475,60,1000000,1,0,,
